mes,dia,hora,Ir_total,Ir_difusa,Temperatura
2,12,17,61,30,5.15
2,13,8,132,45,-1.93
2,13,9,306,81,-0.51
2,13,10,423,150,0.96
2,13,11,514,183,2.26
2,13,12,579,167,3.3
2,13,13,591,129,4.5
2,13,14,540,90,4.94
2,13,15,414,80,5.46
2,13,16,244,68,5.67
2,13,17,68,28,5.21
2,14,8,129,53,-3.17
2,14,9,312,79,-0.67
2,14,10,425,154,0.88
2,14,11,534,163,2.17
2,14,12,615,120,3.15
2,14,13,504,248,3.78
2,14,14,536,106,4
2,14,15,424,72,4.21
2,14,16,238,84,3.97
2,14,17,58,39,3.3
2,15,8,37,37,0.48
2,15,9,45,45,0.96
2,15,10,96,96,1.75
2,15,11,168,168,2.47
2,15,12,125,125,2.76
2,15,13,189,189,2.5
2,15,14,102,102,1.87
2,15,15,109,109,1.63
2,15,16,34,34,1.26
2,15,17,17,17,1.12
2,16,8,30,30,2.02
2,16,9,53,53,2.65
2,16,10,71,71,3.15
2,16,11,89,89,3.79
2,16,12,157,157,4.38
2,16,13,138,138,5.05
2,16,14,105,105,5.58
2,16,15,199,186,6.47
2,16,16,121,114,6.61
2,16,17,62,42,6.44
2,17,8,100,78,5.46
2,17,9,277,141,5.72
2,17,10,161,160,5.88
2,17,11,212,209,6.71
2,17,12,537,248,7.87
2,17,13,233,229,8.41
2,17,14,525,151,8.65
2,17,15,385,153,7.68
2,17,16,117,112,7.84
2,17,17,44,40,7.32
2,18,8,68,65,3.6
2,18,9,230,166,4.05
2,18,10,381,219,4.86
2,18,11,329,283,5.09
2,18,12,392,313,5.82
2,18,13,323,290,6.85
2,18,14,223,217,7.68
2,18,15,201,189,8.04
2,18,16,139,126,7.75
2,18,17,41,39,7.29
2,19,8,94,79,2.69
2,19,9,159,149,3.57
2,19,10,257,229,4.52
2,19,11,326,283,5.43
2,19,12,487,297,6.15
2,19,13,57,57,7.02
2,19,14,51,51,7.89
2,19,15,277,217,8.41
2,19,16,216,130,7.19
2,19,17,96,29,6.36
2,20,8,166,48,-1.47
2,20,9,348,74,1.84
2,20,10,506,81,3.77
2,20,11,622,73,5.41
2,20,12,659,102,6.9
2,20,13,662,74,7.23
2,20,14,565,114,7.34
2,20,15,314,216,7.42
2,20,16,280,69,7.04
2,20,17,95,35,6.59
2,21,8,107,86,0.96
2,21,9,64,64,1.63
2,21,10,125,125,2.64
2,21,11,89,89,3.38
2,21,12,99,99,4.52
2,21,13,112,112,5.87
2,21,14,110,110,6.52
2,21,15,170,167,7.52
2,21,16,282,75,8.2
2,21,17,82,49,7.81
2,22,8,102,87,7.66
2,22,9,181,164,8.23
2,22,10,523,71,8.8
2,22,11,170,170,8.37
2,22,12,576,243,9.88
2,22,13,551,254,11.07
2,22,14,52,52,10.86
2,22,15,463,79,10.51
2,22,16,91,91,10.3
2,22,17,100,40,9.47
2,23,8,127,91,7
2,23,9,42,42,7.53
2,23,10,504,118,8.42
2,23,11,561,201,9.21
2,23,12,96,96,10.09
2,23,13,330,299,10.43
2,23,14,149,149,10.38
2,23,15,99,99,10.05
2,23,16,39,39,9.72
2,23,17,57,51,8.81
2,24,8,192,40,6.14
2,24,9,374,69,6.88
2,24,10,512,114,7.73
2,24,11,635,94,8.98
2,24,12,663,138,10.27
2,24,13,348,309,10.92
2,24,14,113,113,11.15
2,24,15,215,202,11.09
2,24,16,205,149,10.96
2,24,17,114,35,10.59
2,25,8,36,36,7.96
2,25,9,136,134,8.51
2,25,10,102,102,9.17
2,25,11,523,256,10.01
2,25,12,236,234,10.34
2,25,13,81,81,11.54
